date,gbp,cad
2017-01-02,0.81357,1.3435
2017-01-03,0.8143,1.3435
2017-01-04,0.81388,1.3315
2017-01-05,0.81364,1.3244
2017-01-06,0.80884,1.3214
2017-01-09,0.82408,1.3240
2017-01-10,0.82275,1.3213
2017-01-11,0.82572,1.3250
2017-01-12,0.81321,1.3106
2017-01-13,0.8212,1.3141
2017-01-16,0.82885,1.3152
2017-01-17,0.81234,1.3057
2017-01-18,0.81426,1.3099
2017-01-19,0.81135,1.3303
2017-01-20,0.81448,1.3356
2017-01-23,0.80399,1.3291
2017-01-24,0.80341,1.3174
2017-01-25,0.79422,1.3088
2017-01-26,0.79573,1.3103
2017-01-27,0.7974,1.3123
2017-01-30,0.79901,1.3114
2017-01-31,0.8006,1.3030
2017-02-01,0.79164,1.3074
2017-02-02,0.79634,1.3016
2017-02-03,0.80079,1.3016
2017-02-06,0.80237,1.3099
2017-02-07,0.80871,1.3167
2017-02-08,0.79995,1.3157
2017-02-09,0.79583,1.3127
2017-02-10,0.80243,1.3084
2017-02-13,0.79866,1.3082
2017-02-14,0.80107,1.3070
2017-02-15,0.80529,1.3088
2017-02-16,0.799,1.3055
2017-02-17,0.80488,1.3102
2017-02-20,0.80204,1.3102
2017-02-21,0.80535,1.3148
2017-02-22,0.80329,1.3181
2017-02-23,0.80042,1.3110
2017-02-24,0.79652,1.3095
2017-02-27,0.80552,1.3118
2017-02-28,0.80499,1.3249
2017-03-01,0.81221,1.3338
2017-03-02,0.81377,1.3387
2017-03-03,0.81737,1.3405
2017-03-06,0.81477,1.3404
2017-03-07,0.81988,1.3417
2017-03-08,0.82184,1.3475
2017-03-09,0.82128,1.3513
2017-03-10,0.82265,1.3464
2017-03-13,0.81833,1.3447
2017-03-14,0.82366,1.3484
2017-03-15,0.81974,1.3428
2017-03-16,0.80934,1.3319
2017-03-17,0.80905,1.3337
2017-03-20,0.80723,1.3358
2017-03-21,0.80312,1.3317
2017-03-22,0.80309,1.3360
2017-03-23,0.79986,1.3336
2017-03-24,0.80148,1.3374
2017-03-27,0.79349,1.3373
2017-03-28,0.79616,1.3374
2017-03-29,0.80373,1.3364
2017-03-30,0.80265,1.3304
2017-03-31,0.80023,1.3310
2017-04-03,0.79974,1.3384
2017-04-04,0.8039,1.3425
2017-04-05,0.80081,1.3409
2017-04-06,0.80246,1.3418
